peak_value,fwhm,prominence,corr_energy,qc_coincidence,qc_bell_corr,qc_hom_vis,snr_db_true,snr_db_est,local_cv,label
0.885686,416.0,5.1112,217.983519,0.303711,0.197461,0.4625,6,5.722,0.5037,1
0.5309217693643423,424.580419641756,5.060887165588611,79.44024648970988,0.24558244029611628,0.21301464786299706,0.46706614698931453,-4,-4.213,0.4866242780873677,1
0.477871,366.0,5.3081,57.474099,0.286523,0.272656,0.369727,-6,-6.271,0.5063,1
0.20131459754228243,405.68875992542144,5.190755826793375,19.170874091051843,0.3528959063542773,0.2370715794474444,0.43009348728339813,-14,-14.022,0.49268457549949574,0
0.335442,439.0,4.8174,32.345504,0.344727,0.301563,0.384375,-10,-9.921,0.4791,0
0.128655,364.0,5.4364,3.943499,0.27207,0.213281,0.446875,-18,-17.635,0.5251,0
0.269217,459.0,4.8982,21.943383,0.36582,0.309375,0.29375,-12,-11.553,0.4884,0
0.20075740609934176,418.4074571628573,5.458961458856531,9.600688542920757,0.2596956141943552,0.15981178998351678,0.3571934991688226,-12,-12.227,0.5118360708937192,0
0.799312,420.0,5.044,178.92681,0.238086,0.175391,0.499219,2,2.142,0.4972,1
0.892611,426.0,5.0399,227.448183,0.217773,0.171484,0.461719,6,5.819,0.4952,1
0.3154672216596067,363.1863858548959,4.888433541592519,14.114667772530705,0.28204749451670325,0.2609211390728388,0.38684964701720714,-10,-10.408,0.4874105901384851,0
0.15186667821102928,422.64893788377236,4.968288151462278,0.16674686177932774,0.2838954979291649,0.23025140076111664,0.40027287029822123,-18,-17.958,0.4875811930110194,0
0.122442,415.0,5.7498,4.132893,0.333984,0.254688,0.419531,-20,-19.976,0.5165,0
0.790418,417.0,5.1084,174.824154,0.249414,0.179297,0.437695,2,1.931,0.5007,1
0.7760315377659606,411.91420149206255,5.132634168649927,173.69426202141275,0.2695192752187897,0.11174843010320906,0.4539127177099285,2,1.607,0.5059942770881143,1
0.8961061928308949,401.22431751052585,5.113242897798427,216.37897998065867,0.3007567459084434,0.1935948118831178,0.4429995522498037,6,5.784,0.4977326595541392,1
0.15459317476429407,369.31167714503,5.314230504979451,4.930100124272757,0.28842822210808394,0.2090975593741796,0.45809844988683596,-16,-15.821,0.5005304490875015,0
0.643664,420.0,5.0915,114.535256,0.258398,0.236719,0.477734,-2,-1.946,0.4943,1
0.8903097195744226,431.42112257846975,5.101575652988181,204.61851348814167,0.30575749154647036,0.20262962547170899,0.47306849296986936,4,4.176,0.497428091564651,1
